File Size (MB),No of Tags,XML Depth,No of Attributes,No of Elements,CPU Cores,Memory Usage (MB),Efficient_Algo_Label
3.02,851,25,44,1820,6,50,3
3.02,256,4,8,1964,2,289,0
3.02,879,12,39,1252,1,203,1
3.02,335,10,10,401,1,214,0
3.03,1179,13,17,6959,12,88,3
3.03,401,4,6,107,2,243,0
3.03,710,17,36,666,2,192,1
3.04,1164,18,15,1491,2,104,1
3.04,483,12,20,2820,1,50,2
3.04,100,6,24,874,1,92,0
3.04,685,25,37,3132,2,122,2
3.05,1005,9,6,1115,1,87,0
3.06,957,10,13,1987,2,174,0
3.07,613,7,25,5775,10,50,3
3.07,1169,19,17,144,2,50,1
3.07,115,4,6,375,1,50,0
3.08,675,7,1,759,2,86,0
3.08,100,13,38,908,2,262,1
3.08,389,4,23,645,1,335,0
3.08,100,25,9,6520,4,211,3
3.09,292,5,24,1011,2,101,0
3.09,431,17,25,104,2,350,1
3.09,475,17,31,1288,1,141,1
3.1,1216,3,17,1115,1,50,0
3.1,466,4,25,820,2,98,0
3.1,100,11,47,6901,2,127,2
3.11,377,22,17,2801,2,50,2
3.11,178,3,30,1161,2,50,0
3.11,100,12,23,1265,2,117,1
3.12,100,4,26,1429,1,50,0
3.12,100,15,26,461,2,50,1
3.13,823,8,13,619,1,367,0
3.13,1088,2,26,699,1,250,0
3.14,100,9,1,1800,1,376,0
3.14,121,2,27,628,1,50,0
3.14,100,7,23,1182,2,65,0
3.15,1088,28,25,9417,8,304,3
3.15,887,27,45,878,2,310,1
3.15,563,23,31,657,1,338,1
3.16,920,27,10,2550,6,50,3
3.16,911,6,19,1597,1,50,0
3.16,299,30,60,2660,16,67,3
3.16,100,21,35,589,1,50,1
3.17,100,3,13,949,1,50,0
3.18,908,4,10,842,2,312,0
3.19,100,30,21,1184,1,232,1
3.19,1131,8,18,683,2,167,0
3.19,100,28,34,296,2,266,1
3.2,100,10,6,990,2,50,0
3.21,109,16,44,6529,14,330,3
3.21,991,6,8,1407,1,194,0
3.21,100,17,34,162,1,271,1
3.22,784,6,5,1833,2,310,0
3.23,1069,26,41,1493,1,50,1
3.23,100,3,28,989,1,406,0
3.23,872,15,9,5755,12,50,3
3.23,100,17,28,1171,1,143,1
3.25,991,9,4,1765,1,225,0
3.26,100,9,35,5262,10,50,3
3.26,813,10,14,1665,1,213,0
3.27,1053,3,19,7764,8,56,3
3.27,1225,6,9,1641,1,161,0
3.27,100,10,27,1561,2,293,0
3.28,904,6,21,5072,14,50,3
3.28,113,17,36,148,2,50,1
3.28,658,15,42,606,1,51,1
3.28,100,18,33,1390,2,71,1
3.28,774,9,11,1639,2,374,0
3.28,751,17,44,6853,14,257,3
3.29,960,13,19,566,2,90,1
3.29,100,9,21,762,1,192,0
3.29,100,15,39,400,2,257,1
3.31,524,12,17,144,1,84,1
3.31,929,25,15,653,2,111,1
3.31,100,5,3,314,2,330,0
3.31,100,16,19,504,1,200,1
3.31,512,10,15,990,1,50,0
3.32,199,7,9,9078,10,50,3
3.32,1087,2,33,2721,12,105,3
3.33,1065,9,17,1177,1,56,0
3.33,1353,4,24,873,1,80,0
3.33,100,10,40,542,1,378,1
3.34,1000,4,10,8852,14,50,3
3.34,100,26,30,713,1,99,1
3.35,100,6,18,1111,2,50,0
3.35,1173,3,14,3417,14,50,3
3.35,1228,6,16,1467,1,50,0
3.36,100,14,28,696,1,50,1
3.36,165,24,32,1318,2,207,1
3.38,222,3,24,1865,2,308,0
3.39,688,4,21,1881,2,50,0
3.4,100,26,41,1042,1,50,1
3.4,100,16,11,979,4,274,3
3.41,608,22,32,261,1,180,1
3.41,100,5,21,1445,1,116,0
3.41,1215,6,24,1825,2,50,0
3.42,445,19,6,5807,12,50,3
3.42,296,4,10,346,2,269,0
3.42,100,6,6,5611,8,302,3
3.42,836,24,34,401,2,203,1
3.43,100,18,14,6192,2,295,2
3.44,1234,28,15,1225,1,50,1
3.44,860,30,39,477,2,50,1
3.45,1246,20,42,1476,1,268,1
3.46,100,17,29,844,2,243,2
3.46,100,17,9,6409,6,135,3
3.46,100,5,10,536,1,287,0
3.46,100,14,26,6962,6,59,3
3.47,493,8,9,346,2,50,0
3.47,828,9,24,1171,1,50,0
3.47,100,11,57,7019,4,127,3
3.49,174,8,40,7575,10,50,3
3.51,100,24,20,1443,1,92,1
3.51,595,6,11,1677,2,50,0
3.51,983,7,7,1543,1,121,0
3.52,950,12,20,485,1,408,1
3.52,853,15,38,746,2,397,1
3.52,100,2,17,1283,1,66,0
3.52,650,9,24,238,1,369,0
3.53,1235,30,3,4608,14,50,3
3.53,609,8,12,760,2,159,0
3.54,100,8,13,1796,1,97,0
3.54,100,16,16,5481,6,50,3
3.54,100,10,18,1282,2,119,0
3.55,227,27,39,451,2,231,1
3.55,656,12,20,323,2,50,1
3.55,830,5,3,1519,2,50,0
3.57,100,20,20,3281,1,281,2
3.57,216,16,50,1656,2,110,2
3.57,491,11,31,161,2,249,1
3.58,193,5,28,790,2,202,0
3.58,556,27,21,607,1,244,1
3.58,986,29,20,673,2,126,1
3.59,100,10,4,2704,6,50,3
3.59,507,20,20,998,2,50,1
3.6,155,12,51,2011,10,50,3
3.6,875,21,47,1915,8,273,3
3.6,1084,24,28,947,1,150,1
3.61,880,19,8,6035,8,50,3
3.61,100,23,47,8713,8,71,3
3.61,100,15,27,1172,2,50,1
3.61,100,26,16,1415,1,50,1
3.61,493,10,7,603,1,196,0
3.61,1138,20,33,383,2,380,1
3.61,702,17,34,253,1,85,1
3.62,436,10,49,6446,1,320,2
3.62,100,19,27,275,1,50,1
3.63,477,22,37,1085,1,50,1
3.63,237,2,29,1441,2,249,0
3.64,185,21,28,3641,8,50,3
3.66,605,20,15,742,1,269,1
3.67,100,25,33,2486,1,84,2
3.68,100,25,44,4546,2,190,2
3.68,989,20,25,1231,2,172,1
3.68,706,3,19,1902,2,50,0
3.68,932,4,26,1843,1,311,0
3.68,399,24,33,427,1,92,1
3.7,324,21,21,1394,2,50,1
3.7,617,20,4,4417,4,50,3
3.71,100,7,11,1376,1,283,0
3.72,1117,7,45,4627,16,50,3
3.73,971,27,16,1521,8,210,3
3.73,546,8,23,1651,1,297,0
3.74,1245,12,15,143,1,50,1
3.75,144,3,13,1148,1,191,0
3.75,100,23,44,6373,10,246,3
3.75,100,29,59,2775,8,278,3
3.75,1144,22,19,5404,4,249,3
3.77,270,20,16,828,1,193,1
3.78,690,8,4,1209,2,365,0
3.78,100,4,1,958,1,50,0
3.79,100,28,19,1231,1,50,1
3.79,1176,25,35,1007,1,169,1
3.8,1222,19,37,324,2,50,1
3.8,348,22,39,618,2,50,1
3.8,157,10,28,1677,2,256,0
3.81,456,2,8,194,2,376,0
3.81,100,4,10,258,2,194,0
3.81,395,4,4,1369,2,427,0
3.83,1284,25,20,1095,1,50,1
3.84,1367,7,12,532,2,121,0
3.84,101,15,27,4628,10,178,3
3.85,1432,19,27,1393,2,244,1
3.85,100,18,16,1280,1,151,1
3.86,291,22,16,1009,2,50,1
3.87,363,27,51,4506,16,120,3
3.88,100,9,1,1589,1,50,0
3.88,100,23,47,7356,16,50,3
3.88,1489,23,30,8167,2,50,2
3.89,100,8,26,911,1,331,0
3.89,100,20,52,5070,16,280,3
3.89,100,19,16,1408,1,55,1
3.89,1255,4,54,3562,16,50,3
3.89,100,16,32,660,2,50,1
3.89,745,12,6,1031,16,50,3
3.9,224,27,31,1288,8,50,3
3.9,253,13,33,7135,4,319,3
3.91,654,10,26,1952,1,123,0
3.92,702,12,31,717,1,154,1
3.92,1197,15,23,1142,1,50,1
3.93,100,8,3,1150,1,68,0
3.94,674,6,18,1982,2,382,0
3.94,899,6,28,849,14,50,3
3.94,100,19,13,708,1,171,2
3.95,1181,6,56,5333,6,50,3
3.95,1485,11,36,1581,1,57,2
3.96,100,26,23,1058,2,50,1
3.97,100,12,51,6527,16,266,3
3.97,100,7,5,873,1,411,0
3.97,100,10,1,860,2,314,0
3.97,857,15,40,4720,2,50,2
3.97,100,12,38,491,1,339,1
3.97,100,5,32,2672,12,129,3
3.98,658,9,14,1520,2,94,0
3.98,196,19,44,8359,1,325,2
3.98,100,7,5,1720,1,349,0
3.99,1216,3,27,1071,2,181,0
3.99,100,18,18,572,2,50,1
3.99,218,3,24,1802,2,62,0
4.0,793,3,5,344,1,206,0
4.04,1099,13,6,5467,6,171,4
4.08,324,17,37,2135,2,50,4
4.1,115,9,16,7510,8,50,4
4.11,100,18,28,7195,14,209,4
4.13,100,2,30,2502,6,50,4
4.13,1164,5,59,6193,10,50,4
4.13,100,7,3,6322,14,50,4
4.16,516,4,4,472,14,224,4
4.2,1006,11,34,4591,16,50,4
4.21,100,6,51,5322,4,143,4
4.22,1215,14,54,4706,8,286,4
4.27,100,4,16,6491,14,56,4
4.37,100,14,20,4136,14,116,4
4.52,100,12,56,6399,12,62,4
4.55,100,2,2,7955,10,50,4
4.56,100,4,17,1852,14,206,4
4.56,100,4,56,5465,16,64,4
4.63,818,17,20,6520,8,265,4
4.65,100,13,30,7992,10,285,4
4.66,100,4,50,2534,2,50,4
4.74,164,3,3,7672,16,175,4
4.88,874,15,24,287,1,94,4
4.89,1098,14,26,5276,12,170,4
4.95,333,5,33,1419,10,50,4
5.12,683,13,19,948,4,323,4
5.15,175,20,14,4284,8,50,4
5.26,100,19,16,8021,10,126,4
5.33,1167,11,35,8336,6,154,4
5.4,728,12,39,8245,6,50,4
5.4,690,16,55,6950,2,50,4
5.49,757,3,54,3870,1,278,4
5.5,706,16,27,5490,14,298,4
5.54,1093,2,52,8045,10,290,4
5.57,100,3,24,1082,1,242,4
5.57,548,3,28,7291,12,131,4
5.59,422,9,55,6661,2,50,4
5.61,461,2,23,8006,12,50,4
5.61,100,17,52,5548,4,135,4
5.63,100,12,51,4195,10,50,4
5.7,100,9,55,191,6,58,4
5.74,218,18,51,1430,2,50,4
5.75,604,6,10,4715,1,50,4
5.8,1063,13,27,3619,16,190,4
5.8,1412,4,60,1526,6,97,4
5.83,794,10,23,2058,12,319,4
5.89,100,7,49,2038,4,50,4
5.98,100,3,44,1119,10,50,4
6.0,1438,7,23,1243,16,50,4
6.02,1510,15,3,444,1,438,4
6.02,956,12,34,1482,10,339,4
6.17,313,13,28,6527,6,440,4
6.29,100,18,53,7027,12,50,4
6.3,1059,9,15,1969,14,50,4
6.31,1013,14,6,3172,1,50,4
6.32,100,8,13,3191,4,243,4
6.39,493,9,19,2081,4,50,4
6.39,100,19,35,6160,14,317,4
6.41,1161,16,50,4348,4,182,4
6.51,635,14,45,323,8,104,4
6.53,432,17,2,3835,14,149,4
6.57,446,10,23,1514,16,50,4
6.58,1540,19,60,5106,14,162,4
6.68,1456,2,20,522,16,167,4
6.76,836,15,58,805,10,123,4
6.79,1275,2,17,3816,1,69,4
6.85,857,14,54,5593,6,350,4
6.9,1144,12,29,1019,8,85,4
6.91,680,8,47,7215,14,207,4
6.97,1303,18,8,4996,6,181,4
7.09,1130,14,15,3934,6,130,4
7.1,886,5,32,4257,14,377,4
7.12,100,8,57,3097,12,50,4
7.17,439,7,37,1341,8,54,4
7.21,100,4,52,3479,16,53,4
7.23,583,15,2,6358,4,50,4
7.26,1429,3,21,5164,16,50,4
7.34,1163,15,24,2288,8,206,4
7.34,754,3,34,7666,1,50,4
7.35,567,18,9,6759,1,391,4
7.36,100,20,16,3318,6,72,4
7.41,100,10,44,6612,4,362,4
7.41,695,17,4,4703,2,50,4
7.45,270,15,60,395,14,50,4
7.47,831,3,2,7722,10,186,4
7.48,100,6,57,3433,10,50,4
7.49,100,6,25,331,16,383,4
7.49,754,9,7,4728,6,50,4
7.5,839,2,18,1713,1,325,4
7.53,1577,18,49,7251,10,257,4
7.55,1926,6,43,2954,2,234,4
7.55,100,17,15,4919,14,415,4
7.6,439,20,9,1693,16,50,4
7.62,278,15,11,6557,10,257,4
7.63,100,16,34,7349,2,99,4
7.73,282,17,33,5626,4,50,4
7.77,419,8,38,4168,1,173,4
7.88,291,17,53,2019,14,50,4
7.93,100,16,45,554,10,387,4
7.96,769,9,32,8176,6,50,4
7.97,1936,7,19,4719,2,50,4
7.97,413,14,15,463,14,50,4
8.07,293,5,21,213,4,347,4
8.09,1108,14,27,5038,2,50,4
8.09,885,7,19,6667,1,270,4
8.11,412,8,22,1270,1,218,4
8.13,562,16,12,6652,8,312,4
8.2,480,10,15,3537,6,292,4
8.32,100,6,44,426,16,50,4
8.41,1413,11,52,8418,16,162,4
8.42,100,18,31,6045,10,357,4
8.59,1213,3,31,6494,16,179,4
8.64,237,13,58,4147,6,336,4
8.73,100,8,52,719,10,50,4
8.82,100,5,21,1840,4,50,4
8.83,1236,6,13,4666,16,392,4
8.86,1583,15,52,3085,4,50,4
8.88,1987,15,29,7426,12,63,4
9.09,1492,6,40,6704,2,54,4
9.23,1565,9,39,6366,10,50,4
9.26,100,4,11,1189,6,134,4
9.28,1292,19,57,3108,6,107,4
9.34,685,2,58,7772,6,50,4
9.58,1527,5,13,763,8,50,4
9.61,573,4,56,5370,6,50,4
9.64,139,17,21,7918,10,457,4
9.66,1847,20,11,617,12,97,4
9.66,959,2,29,3930,1,495,4
9.67,1363,13,55,1983,16,400,4
9.8,1737,9,41,5150,14,169,4
9.8,1216,5,30,3371,2,213,4
9.81,604,15,13,2644,6,251,4
9.84,1437,18,21,6680,16,92,4
9.85,577,12,23,1779,6,50,4
9.86,1039,19,47,2317,2,321,4
9.92,1257,16,47,2439,14,135,4
9.98,1112,15,49,970,1,266,4
10.07,1733,9,50,3447,4,114,4
10.31,100,19,15,3267,14,318,4
10.43,1384,8,47,5514,2,302,4
10.43,946,20,60,2725,6,303,4
10.48,100,3,14,275,14,299,4
10.51,1503,17,24,3328,6,487,4
10.57,189,2,36,2655,8,50,4
10.57,1091,4,22,5512,16,379,4
10.58,1281,12,46,7709,14,384,4
10.68,805,5,54,8129,12,158,4
10.69,1901,14,58,5509,2,279,4
10.79,1304,19,37,2289,6,209,4
10.81,100,16,8,205,12,237,4
10.84,1217,13,34,6621,10,106,4
10.96,758,7,23,5126,14,313,4
10.99,2412,10,49,8144,12,131,4
11.0,1886,11,20,260,16,63,4
11.02,1516,9,1,1029,2,220,4
11.18,1257,6,58,3796,16,50,4
11.18,908,14,49,897,14,236,4
11.21,1290,12,38,8115,10,426,4
11.31,323,3,55,4359,6,134,4
11.31,1272,14,24,3561,10,87,4
11.32,1131,16,5,5375,6,279,4
11.41,1045,14,49,2902,2,282,4
11.43,100,14,32,1991,12,50,4
11.45,956,3,17,237,6,124,4
11.46,1265,18,9,3177,16,273,4
11.49,1355,6,29,1250,14,392,4
11.52,1310,3,22,2868,12,298,4
11.52,1045,7,5,4869,8,407,4
11.6,594,17,31,3916,16,120,4
11.66,1942,19,7,4565,12,508,4
11.67,1940,19,45,6509,12,323,4
11.69,1267,11,1,322,2,404,4
11.71,1190,2,41,6184,1,222,4
11.72,529,10,2,6414,14,50,4
11.8,846,7,3,7453,16,52,4
11.84,1346,19,21,2537,14,236,4
11.86,1027,7,9,8217,8,415,4
11.88,620,4,9,5609,8,106,4
11.88,2680,12,31,7093,1,160,4
11.91,1359,18,23,6799,2,297,4
11.91,921,10,30,3725,8,343,4
11.92,1354,9,22,2016,1,360,4
11.92,1677,10,55,6416,2,185,4
11.93,2442,20,2,3827,4,365,4
11.94,1462,7,12,8047,10,50,4
12.03,1397,8,49,3991,12,394,4
12.04,550,13,59,3667,12,128,4
12.08,2769,9,26,4632,10,240,4
12.09,1150,12,53,3568,6,260,4
12.16,1115,10,13,5630,16,136,4
12.2,892,17,45,1789,10,274,4
12.21,387,3,54,664,1,264,4
12.21,215,7,60,579,16,201,4
12.22,194,4,47,3135,4,50,4
12.27,1631,14,27,1056,8,50,4
12.31,2426,19,34,6497,6,74,4
12.44,1846,5,34,1947,16,212,4
12.45,1975,2,12,2995,1,417,4
12.48,344,8,22,5587,12,427,4
12.49,100,7,33,6820,6,140,4
12.5,1324,14,35,2088,12,173,4
12.53,2071,5,36,5489,4,176,4
12.61,735,11,42,2938,2,305,4
12.66,2750,3,46,3099,8,50,4
12.69,1083,9,22,3279,14,50,4
12.69,1023,19,31,2755,14,64,4
12.78,1175,16,30,6514,12,289,4
12.79,695,14,12,7081,4,335,4
12.87,1569,9,29,1385,16,347,4
12.91,203,2,52,1746,2,276,4
12.94,465,19,40,4186,14,310,4
12.99,1744,13,54,189,10,185,4
13.0,1891,4,37,1419,2,235,4
13.02,1759,9,42,4687,12,187,4
13.02,658,9,20,4386,1,449,4
13.03,1053,8,18,3521,6,459,4
13.03,1177,15,31,4713,14,205,4
13.27,100,9,1,7423,10,381,4
13.29,794,17,43,2930,10,220,4
13.29,127,7,5,2862,2,205,4
13.36,1037,18,14,6796,8,109,4
13.39,100,12,38,5097,8,191,4
13.39,233,8,38,6384,6,569,4
13.41,100,6,58,7057,16,179,4
13.43,1099,4,26,6117,1,50,4
13.48,1751,2,11,8497,6,390,4
13.51,2021,2,19,717,8,96,4
13.51,100,14,27,6957,6,50,4
13.53,2823,10,49,8351,8,50,4
13.56,426,11,5,2795,2,120,4
13.57,433,14,13,3992,12,50,4
13.6,100,16,47,5199,4,282,4
13.63,100,3,3,3379,6,89,4
13.7,1855,14,56,7746,12,191,4
13.74,954,18,19,6830,12,215,4
13.75,1721,5,42,5714,1,139,4
13.82,100,20,43,6341,4,192,4
13.93,1014,6,16,760,12,50,4
13.95,1276,9,25,3326,4,334,4
13.97,1031,2,27,5083,2,314,4
13.98,758,13,54,4036,16,518,4
14.01,1744,3,55,7063,12,189,4
14.02,1601,11,10,5596,6,138,4
14.14,1452,16,25,2519,8,178,4
14.19,1960,2,1,3466,12,84,4
14.21,472,17,46,3949,1,99,4
14.32,874,4,41,8121,6,103,4
14.47,1387,15,2,522,16,248,4
14.48,723,13,55,6131,10,78,4
14.54,2521,17,29,4938,10,389,4
14.54,461,14,42,1415,10,50,4
14.64,1949,11,5,1205,6,338,4
14.66,1509,15,3,8135,1,324,4
14.73,1122,20,24,2884,2,50,4
14.73,338,16,23,4301,1,333,4
14.77,1908,12,23,7047,1,304,4
14.77,2326,6,15,6662,1,50,4
14.8,100,15,12,5808,14,414,4
14.86,2373,5,11,3667,4,73,4
14.86,2364,12,31,4022,2,382,4
14.87,561,19,50,3131,14,413,4
14.89,397,20,1,5566,8,357,4
14.9,1432,20,29,3771,6,372,4
15.1,1957,20,4,1988,2,378,4
15.22,3024,16,43,8336,2,125,4
15.27,100,15,13,2910,2,90,4
15.28,1796,12,13,1346,14,64,4
15.4,1426,8,25,7033,12,628,4
15.47,1656,12,20,4246,2,449,4
15.54,1889,19,49,3728,10,252,4
15.54,1934,17,25,3920,6,114,4
15.77,1955,10,2,5788,8,442,4
15.78,2304,17,21,6323,4,636,4
15.79,1390,2,43,2029,16,440,4
15.8,616,15,19,3464,1,321,4
15.81,3054,6,58,3812,6,170,4
15.82,2305,20,55,2110,1,50,4
15.92,2184,11,51,2963,14,148,4
15.94,1448,8,5,159,4,64,4
16.03,1779,12,12,3753,8,299,4
16.04,725,11,29,5545,6,380,4
16.13,1631,15,29,6296,12,345,4
16.14,2511,12,28,7512,4,192,4
16.14,1254,12,37,5060,8,289,4
16.24,100,4,29,8133,8,402,4
16.29,984,6,15,1744,6,512,4
16.37,100,10,46,4868,14,50,4
16.37,333,7,6,358,16,556,4
16.38,1132,5,54,3113,14,210,4
16.41,1940,15,16,517,14,192,4
16.44,1017,12,6,7929,12,365,4
16.46,1196,15,9,5796,16,556,4
16.47,1829,9,46,4870,12,202,4
16.54,1074,9,40,1422,14,344,4
16.59,1577,16,18,5184,1,222,4
16.85,1657,3,53,320,4,486,4
16.93,625,4,39,860,8,201,4
16.95,1126,3,27,6381,4,379,4
16.95,687,10,56,4594,10,96,4
16.99,2159,17,43,6918,6,427,4
17.02,2892,6,55,8335,12,231,4
17.07,2527,7,4,4470,8,288,4
17.08,802,16,14,995,6,440,4
17.09,100,11,14,1360,2,520,4
17.11,1695,14,41,7148,14,584,4
17.13,1358,9,43,2366,8,335,4
17.17,1513,11,16,8062,1,365,4
17.26,1333,10,21,2755,4,50,4
17.28,2202,4,35,6135,8,221,4
17.49,1229,13,15,1167,14,321,4
17.54,1670,17,11,3735,2,294,4
17.54,1848,4,56,511,12,642,4
17.56,1617,13,18,1396,1,183,4
17.6,1258,20,14,7925,14,159,4
17.73,1244,15,4,2723,1,411,4
17.75,1995,10,47,8155,6,346,4
17.85,100,6,47,1837,16,97,4
17.87,1432,13,59,575,12,275,4
17.92,2520,7,29,2449,10,421,4
17.93,1767,9,45,6635,16,267,4
17.97,1909,20,39,2964,1,292,4
17.97,1934,19,53,6717,12,369,4
18.01,2231,9,17,7911,10,687,4
18.01,2170,11,13,2235,8,231,4
18.02,580,17,54,3827,6,263,4
18.13,1125,3,49,4509,6,528,4
18.2,2011,10,13,8082,10,518,4
18.22,3664,13,28,4820,10,321,4
18.31,1760,12,41,2748,6,626,4
18.34,1248,19,42,2328,12,296,4
18.37,2040,12,24,1607,2,362,4
18.37,2556,2,9,7832,6,558,4
18.4,914,6,40,4897,1,249,4
18.45,984,18,46,7830,1,558,4
18.47,2863,16,51,3875,2,714,4
18.49,285,18,48,5232,10,325,4
18.5,609,10,54,7957,1,497,4
18.5,1606,13,6,2477,2,69,4
18.58,2305,3,51,5464,2,101,4
18.63,1033,5,40,6276,1,50,4
18.75,445,4,57,4455,8,486,4
18.76,1562,14,59,3510,4,254,4
18.78,550,5,58,2768,14,432,4
18.79,2149,12,53,2651,6,529,4
18.8,1306,10,6,767,6,406,4
18.87,1885,11,19,3759,16,221,4
18.89,1949,10,19,5760,2,548,4
19.02,1485,9,45,1819,12,531,4
19.03,2210,7,47,220,1,392,4
19.03,3082,2,54,720,4,647,4
19.05,1038,16,51,7171,1,366,4
19.07,1786,14,52,7309,10,50,4
19.08,939,17,33,1198,10,662,4
19.09,936,6,34,5394,12,612,4
19.12,1884,6,41,8420,12,405,4
19.25,1435,20,23,5853,2,380,4
19.25,2689,3,26,6677,2,492,4
19.27,895,5,16,4870,4,131,4
19.35,3069,12,2,3272,1,525,4
19.39,276,10,38,2818,2,150,4
19.39,2449,18,31,2464,2,380,4
19.43,1917,10,17,8120,10,452,4
19.43,2441,9,15,8149,12,50,4
19.44,363,20,52,5517,14,214,4
19.49,152,16,24,8454,10,337,4
19.51,1336,19,46,7379,12,57,4
19.54,1097,8,1,6395,12,569,4
19.54,2676,8,21,1790,14,50,4
19.57,3056,6,33,1680,4,520,4
19.58,2546,4,40,5269,6,186,4
19.63,1435,14,18,1918,12,514,4
19.66,2649,13,29,1936,12,403,4
19.67,3062,14,1,768,14,455,4
19.69,2359,2,16,5679,16,306,4
19.73,1754,17,21,712,2,372,4
19.75,1243,13,32,7599,2,462,4
19.76,100,18,31,7083,8,521,4
19.79,3701,2,53,6213,1,386,4
19.79,2488,10,41,8089,14,50,4
19.81,2998,9,44,2425,2,323,4
19.87,1502,7,46,3501,6,167,4
19.93,1828,8,23,2100,10,314,4
20.03,1550,18,26,6162,10,150,4
20.04,789,15,26,7185,4,263,4
20.05,805,11,26,3648,14,228,4
20.15,3236,15,58,6285,8,513,4
20.27,2401,3,5,5632,8,374,4
20.3,2430,7,40,456,10,559,4
20.36,1344,13,10,3081,4,241,4
20.37,1924,3,30,3864,1,50,4
20.51,3211,16,51,5731,6,50,4
20.54,1712,12,40,5789,1,386,4
20.61,1853,19,7,1542,12,552,4
20.62,1241,16,3,910,6,359,4
20.72,1110,10,13,5646,8,271,4
20.8,2810,10,42,4814,6,347,4
20.94,3874,11,59,5509,8,268,4
20.96,2899,2,49,6131,12,50,4
20.97,1955,2,27,6897,16,468,4
21.0,2559,2,31,225,1,427,4
21.01,2529,5,32,7562,16,382,4
21.03,2259,16,33,8398,16,443,4
21.04,987,11,2,4142,6,685,4
21.07,2746,2,59,3690,4,93,4
21.1,2628,3,37,5054,10,489,4
21.11,862,14,21,2486,8,525,4
21.13,1992,15,50,2476,14,281,4
21.19,100,10,10,3496,12,357,4
21.27,1347,7,9,3752,14,622,4
21.38,1423,15,53,5333,6,380,4
21.38,1186,5,28,5270,6,227,4
21.41,1937,6,59,270,10,316,4
21.42,2027,18,12,5103,6,50,4
21.44,1275,7,38,6789,16,135,4
21.52,1854,14,11,394,1,253,4
21.52,1983,13,43,3582,8,364,4
21.52,2223,12,40,6472,6,239,4
21.55,396,8,5,1428,2,432,4
21.56,1287,15,41,8451,4,156,4
21.6,1490,15,11,3340,16,730,4
21.7,660,19,31,7117,8,464,4
21.72,1394,14,45,532,4,178,4
21.75,3343,15,45,4790,12,631,4
21.76,2109,19,19,3117,10,321,4
21.77,2561,6,35,6266,12,460,4
