File Size (MB),No of Tags,XML Depth,No of Attributes,No of Elements,CPU Cores,Memory Usage (MB),Efficient_Algo_Label
64.24,4149,28,43,2744,16,1034,3
64.24,2251,28,9,1180,16,650,3
64.24,2033,6,59,3418,10,1172,4
64.26,6391,2,8,6620,8,376,4
64.28,4512,26,2,8894,16,287,3
64.29,1987,13,10,1214,4,1246,4
64.41,5060,17,25,2251,12,695,4
64.42,10363,12,39,2267,6,1178,4
64.51,5215,11,34,7659,16,1131,3
64.56,8793,17,41,2947,14,945,3
64.56,2752,19,14,5175,1,507,4
64.63,8595,14,20,6309,10,849,4
64.65,4181,14,20,7952,8,1115,4
64.73,3737,17,48,684,16,351,3
64.9,6498,19,21,5670,12,1522,4
64.92,3965,11,17,5114,10,764,4
65.28,5052,6,48,710,8,1625,4
65.48,8465,16,1,7263,14,149,3
65.49,2817,18,45,4922,14,738,3
65.49,9179,17,13,3648,8,1236,4
65.58,7624,10,27,2373,10,1007,4
65.61,5246,10,47,1402,8,651,4
65.73,7128,15,49,2220,10,1072,4
66.15,5128,15,19,1585,16,1225,3
66.23,9037,13,47,984,12,1094,4
66.39,5047,10,14,2697,1,1454,4
66.41,1836,19,16,4388,10,1600,4
66.56,4868,20,60,570,2,1002,4
66.83,2667,5,19,3053,8,495,4
66.84,8103,2,31,5919,8,1350,4
67.22,7868,27,35,299,14,444,3
67.25,5590,15,37,5038,2,336,4
67.28,2882,12,19,3623,10,1074,4
67.28,3950,27,22,4382,14,672,3
67.3,4364,16,18,7568,6,1173,4
67.31,4457,4,4,3943,10,889,4
67.32,8946,9,45,3891,8,1122,4
67.33,8035,12,15,1613,16,844,3
67.38,6453,4,10,7615,4,1042,4
67.45,5608,7,15,1244,8,1339,4
67.46,8321,11,1,763,12,593,4
67.53,9055,19,31,3705,1,586,4
68.14,5288,16,2,4865,8,1439,4
68.25,3247,2,50,796,6,792,4
68.26,10035,14,30,5513,4,1861,4
68.31,2630,3,3,5868,16,507,3
68.41,4891,5,50,5944,1,1111,4
68.59,7563,13,50,2250,1,1507,4
68.66,4921,12,6,1789,14,1056,3
68.76,9575,18,4,7761,2,1334,4
68.77,9556,7,8,8235,14,505,3
68.9,9376,19,22,1839,12,742,4
68.9,7340,11,4,7182,2,676,4
68.9,7370,13,15,1824,6,1582,4
68.97,4314,28,30,1021,16,1027,3
69.48,5344,15,37,9098,14,725,3
69.53,5464,7,37,3604,12,1196,4
69.71,7457,10,38,4668,6,1064,4
69.79,9654,5,4,8859,14,728,3
69.81,2449,15,15,541,16,1071,3
69.85,4440,7,59,4439,10,629,4
70.12,6080,19,17,231,2,1508,4
70.15,9598,13,16,5923,14,364,3
70.16,9445,10,51,6826,1,363,4
70.3,3562,8,10,5113,8,1155,4
70.32,9925,4,25,1575,4,1097,4
70.38,3649,6,10,570,6,1572,4
70.39,3204,17,31,5396,1,1511,4
70.44,5740,11,9,508,16,1371,3
70.56,6784,19,10,2957,8,633,4
70.62,7368,4,32,7263,16,769,3
70.92,3012,11,45,4399,6,1023,4
70.95,10012,19,2,6978,2,1233,4
70.97,3533,17,48,7868,12,907,4
71.05,7038,10,32,2697,2,1166,4
71.05,2829,16,55,6847,4,1358,4
71.06,8415,15,60,5718,4,1685,4
71.12,5885,16,25,5419,10,1796,4
71.36,8287,9,59,6298,1,1227,4
71.37,2349,3,9,169,14,756,3
71.56,9522,9,60,4890,12,935,4
71.61,3505,19,25,794,14,1167,3
71.69,11131,13,46,2677,2,1643,4
71.75,5599,4,38,2765,8,425,4
71.81,6313,9,30,824,4,1107,4
71.84,6591,3,24,4643,6,936,4
71.87,3016,15,60,2731,1,1140,4
71.91,7987,30,38,7650,16,749,3
71.98,6499,16,30,1492,2,555,4
72.08,8893,10,42,1679,4,865,4
72.09,5385,8,59,2121,1,1419,4
72.18,7572,3,54,3672,4,1443,4
72.3,6609,9,35,1065,14,1139,3
72.4,10272,3,34,2992,1,1209,4
72.48,5571,6,7,8415,10,1945,4
72.7,9359,11,33,3062,10,658,4
72.76,5918,6,25,5063,12,668,4
72.81,7113,14,7,4679,4,1117,4
72.92,9640,4,54,7151,2,1202,4
73.01,5006,9,21,3479,6,1110,4
73.01,6548,18,29,4656,2,1450,4
73.02,8892,15,15,6494,4,1750,4
73.05,2201,15,25,3426,6,1703,4
73.2,7364,11,53,6711,2,1506,4
73.26,3597,11,55,7748,12,772,4
73.4,9855,2,5,935,6,1023,4
73.64,7663,25,32,8803,16,544,3
73.68,10077,3,21,4319,12,1188,4
73.77,8929,21,53,5921,14,1482,3
74.02,5574,14,28,6056,6,1909,4
74.13,6179,20,34,3431,8,227,4
74.32,2127,13,10,6244,12,1335,4
74.46,4843,21,53,1598,16,1319,3
74.76,9175,17,18,3149,6,756,4
74.79,4311,19,40,5106,2,1972,4
74.85,5643,20,32,4651,1,906,4
74.89,4798,5,35,6252,4,676,4
75.0,9809,16,3,8125,16,499,3
75.02,2119,3,4,7846,4,990,4
75.04,4916,2,1,6094,10,563,4
75.04,2177,23,27,3142,14,1001,3
75.12,8077,4,47,6072,8,1025,4
75.21,4144,17,46,8921,16,684,3
75.23,7881,13,17,5203,10,965,4
75.25,5498,22,56,2523,14,704,3
75.27,3673,9,53,1044,12,586,4
75.3,4833,2,15,6641,4,1839,4
75.47,11145,17,24,8301,14,1345,3
75.8,9740,8,36,1567,2,1525,4
75.98,3375,6,32,8498,12,748,4
76.06,4837,14,1,459,12,598,4
76.08,9995,6,39,570,14,326,3
76.14,8640,13,2,3480,12,1746,4
76.17,11157,4,43,6175,12,676,4
76.17,8054,3,12,6290,8,1825,4
76.42,10866,4,55,3485,8,955,4
76.5,7876,12,37,4093,10,1400,4
76.54,6632,16,2,6077,4,865,4
76.78,9577,2,14,4093,1,304,4
76.81,2046,10,3,2025,12,1705,4
76.97,2416,19,42,7280,6,1815,4
77.1,2609,11,36,2653,1,1496,4
77.34,3504,8,20,4425,2,1566,4
77.38,11192,5,48,3864,10,1661,4
77.42,8796,19,12,4019,12,1582,4
77.47,8760,6,1,6281,6,976,4
77.63,10581,17,22,2580,16,732,3
77.72,8402,3,30,3413,12,1592,4
77.74,4411,14,17,154,4,1788,4
78.03,9013,18,32,2355,2,221,4
78.07,6603,6,40,2881,8,947,4
78.52,6057,11,36,8128,10,666,4
78.67,8942,18,51,5948,12,1564,4
78.75,2125,4,7,7384,12,267,4
79.02,7867,10,40,1481,12,446,4
79.16,5527,29,23,8646,14,651,3
79.21,4742,13,31,4502,4,842,4
79.32,6430,7,47,2995,12,1683,4
79.37,11496,25,50,1220,14,863,3
79.39,2784,22,46,4070,14,258,3
79.42,6665,11,13,8179,8,1271,4
79.88,5751,4,58,5734,6,605,4
79.94,9999,6,22,6109,14,1577,3
80.11,2003,19,2,3094,6,763,4
80.31,5215,13,35,2796,8,1998,4
80.44,8361,15,20,6973,6,762,4
80.57,2711,2,36,6909,2,772,4
80.62,4173,5,9,3177,12,1096,4
80.73,5076,7,60,5436,1,1822,4
80.79,4632,4,49,7334,1,648,4
80.83,7779,11,44,6974,4,1316,4
80.84,9769,14,19,6731,6,2107,4
80.94,5810,18,9,8337,12,1544,4
81.08,11680,13,11,6739,6,1814,4
81.16,6979,13,24,4525,10,1971,4
81.17,7953,4,11,8249,6,1741,4
81.26,10009,4,43,8051,1,687,4
81.29,9367,2,42,6680,1,905,4
81.43,8876,10,45,2077,12,1499,4
81.48,6786,8,8,7646,2,879,4
81.62,2011,19,46,5291,12,1648,4
81.87,8782,8,29,4969,10,537,4
82.14,12015,11,28,7744,1,1535,4
82.5,9627,16,24,5734,8,1685,4
82.53,5891,19,60,533,10,1024,4
82.54,3342,12,14,406,8,1592,4
82.64,2922,19,43,7168,2,1149,4
82.77,7765,19,43,3324,2,1778,4
82.9,9736,20,27,4611,2,2069,4
82.91,6550,26,11,326,16,940,3
82.91,5831,11,6,7624,12,1761,4
82.96,4885,12,15,4951,2,1958,4
83.16,11000,8,36,750,1,1148,4
83.64,10602,12,56,7261,8,1397,4
83.66,10162,13,47,5883,1,887,4
83.71,8290,12,16,4252,12,878,4
83.79,8287,5,31,2374,4,1410,4
83.91,10730,12,46,2971,14,893,3
84.0,6591,18,30,2614,8,1729,4
84.04,3729,8,44,3281,16,1061,3
84.39,8419,4,19,1526,10,1080,4
84.46,4594,9,44,2330,10,1545,4
84.46,12093,6,59,8064,12,1252,4
84.56,7158,18,5,5873,1,1414,4
84.63,11983,10,45,686,2,1072,4
85.09,4724,4,29,7832,10,1437,4
85.39,2520,9,11,1684,10,1581,4
85.45,10232,12,59,6124,8,281,4
85.52,8909,7,6,3913,4,1176,4
85.55,6346,6,59,1967,8,773,4
85.57,11118,20,7,3138,1,1562,4
85.78,3307,9,18,1519,1,773,4
85.81,5758,19,42,8500,1,1965,4
85.87,5176,5,5,1860,1,1275,4
85.9,10160,10,33,6859,6,747,4
85.92,8886,7,34,4146,1,694,4
86.09,4793,29,55,6141,16,913,3
86.22,4605,17,49,7751,4,1427,4
86.3,10230,3,10,3245,16,156,3
86.36,12290,23,14,1973,14,1601,3
86.37,6215,6,41,529,12,1984,4
86.45,11467,3,16,280,6,904,4
86.47,4187,20,14,3163,12,632,4
86.54,7341,20,35,3646,8,1767,4
86.54,4867,13,40,7321,1,743,4
87.16,8845,6,6,3372,1,1154,4
87.23,9660,8,53,1624,1,1710,4
87.58,4168,13,7,1029,4,1041,4
87.62,10929,11,34,3516,8,1675,4
87.77,10391,18,38,6595,12,1460,4
87.83,4870,16,41,1390,4,1420,4
87.85,3992,14,12,5419,6,1048,4
87.9,10742,4,47,7783,6,1422,4
87.93,9370,20,51,3543,12,1884,4
87.96,8410,3,6,3231,8,1154,4
88.13,11040,19,51,1479,16,1416,3
88.39,7100,7,29,2403,1,1920,4
88.46,7524,5,56,2220,8,314,4
88.56,10100,9,16,5422,16,852,3
88.73,2162,16,37,7698,12,2245,4
88.85,12425,11,7,5911,12,1348,4
88.9,9885,12,24,3478,2,1082,4
88.92,7821,15,51,6052,4,1506,4
89.12,11421,4,29,3698,1,1760,4
89.41,6565,3,35,5922,2,939,4
89.53,12184,20,29,518,1,799,4
89.75,8076,14,26,1666,10,1189,4
89.86,9279,3,29,2593,10,1187,4
89.89,3400,16,50,7748,14,484,3
89.98,3187,4,36,8189,16,1093,3
90.06,6444,29,4,2343,14,734,3
90.18,7385,25,50,344,16,1449,3
90.27,11166,16,2,3311,16,1490,3
90.39,6217,6,24,3159,4,711,4
90.44,5302,10,44,8400,6,1048,4
90.63,7602,2,20,5913,1,2064,4
91.0,10247,18,24,7042,1,2112,4
91.01,10795,2,21,1520,1,959,4
91.04,6749,5,21,7687,12,1847,4
91.1,6280,13,44,566,10,1513,4
91.13,8471,15,53,2805,14,451,3
91.24,4723,17,22,1606,12,1268,4
91.4,10219,3,32,2244,16,1728,3
91.56,9915,11,10,6921,14,1420,3
91.71,5083,23,32,8307,16,1033,3
91.77,3017,10,47,816,12,427,4
91.95,5785,23,60,919,16,1150,3
92.28,11962,8,3,6394,2,505,4
92.29,6833,12,17,2119,4,1951,4
92.3,4833,5,23,7212,6,1475,4
92.3,10261,7,34,8368,6,2418,4
92.45,2119,7,11,7270,14,1436,3
92.48,13602,5,24,7730,4,1998,4
92.64,7959,5,53,5933,1,1139,4
92.81,12198,10,5,8445,12,1281,4
92.9,3323,13,46,7682,1,915,4
92.94,6523,2,60,8019,12,464,4
93.26,13810,13,19,6863,6,813,4
93.28,4728,4,2,7855,8,2163,4
93.37,9684,10,16,7726,6,1171,4
93.44,13636,28,58,200,16,1071,3
93.76,10399,20,9,2411,10,2049,4
93.83,11992,18,48,3891,1,665,4
93.84,5257,22,18,9174,16,588,3
93.86,12319,4,46,6270,4,2330,4
94.46,5075,18,60,7888,4,1232,4
94.56,11819,10,51,2758,12,2035,4
94.64,10639,11,6,5512,2,1504,4
94.96,9071,20,36,3426,12,605,4
94.97,7706,18,1,7636,10,2082,4
95.0,10449,17,39,6575,8,1101,4
95.07,9853,2,59,6219,8,1430,4
95.21,8268,15,29,5120,1,2142,4
95.35,2624,12,39,2297,16,787,3
95.51,14014,15,43,7470,4,631,4
95.59,7572,20,49,5860,10,1531,4
95.71,3899,29,45,3621,16,1614,3
95.76,12336,4,59,2004,2,1282,4
95.96,9100,5,56,5921,8,2154,4
96.39,11434,28,55,1768,14,1268,3
96.46,6382,4,23,745,1,1701,4
96.9,11715,3,2,3459,1,941,4
97.05,2636,14,10,7230,2,1256,4
97.14,10141,8,11,5113,10,1226,4
97.24,8257,19,12,5124,8,1095,4
97.26,9495,5,8,6089,2,855,4
97.28,5737,5,47,1560,1,1186,4
97.3,4624,21,3,3657,16,793,3
97.3,10168,13,38,1846,1,2303,4
97.64,11372,14,23,1087,10,2043,4
97.78,13455,9,18,683,10,1252,4
97.83,7195,12,60,7408,1,895,4
97.87,14828,11,25,7441,1,1795,4
98.12,4676,3,52,5571,16,496,3
98.2,9762,19,16,4549,14,1083,3
98.21,11714,12,41,1384,12,1161,4
98.39,14136,5,54,6437,12,2317,4
98.57,7349,17,31,7474,6,895,4
98.63,10345,17,40,5111,12,2077,4
98.75,6995,14,49,7694,16,1760,3
98.77,13389,17,59,2515,1,589,4
98.77,5861,6,44,5597,14,1574,3
99.0,4139,24,43,4064,16,673,3
99.16,7603,15,13,7486,12,1957,4
99.19,7237,10,18,7310,6,1206,4
99.23,10249,14,10,1460,2,777,4
99.51,13958,4,9,3053,10,1736,4
99.56,10109,19,23,3981,6,1285,4
100.09,10384,17,23,2203,1,1446,2
100.1,3138,11,49,3896,8,1823,2
100.12,6017,12,33,5274,4,1829,2
100.2,13534,12,27,9224,14,1308,3
100.25,10448,14,44,625,2,1940,2
100.27,5661,18,34,3400,2,2055,2
100.3,5004,9,30,7015,6,1355,2
100.43,14575,17,50,2427,4,1626,2
100.46,5489,15,28,3566,14,585,3
100.8,10871,15,35,3152,6,1236,2
100.91,3039,20,15,2394,12,909,3
101.03,9005,11,45,4535,6,1550,2
101.06,13169,14,37,4657,16,950,3
101.15,4461,16,28,3269,6,1505,2
102.04,5230,8,49,8220,6,996,2
102.25,3459,20,11,3084,6,1700,2
102.35,4325,23,39,2074,14,1594,3
102.97,12575,8,54,7409,10,856,3
103.19,11310,24,36,5345,4,1473,2
103.33,12935,15,44,1459,10,1675,3
103.35,15943,14,41,7012,1,1732,2
103.5,10689,22,49,8608,2,1559,2
103.64,12380,16,17,3432,1,1641,2
104.39,12407,20,20,9096,16,1870,3
104.55,11049,17,39,1672,12,2031,3
104.55,4479,10,15,5715,6,1790,2
104.64,9760,14,24,6081,12,364,3
104.67,7648,26,28,2842,16,241,3
104.8,10649,13,10,687,6,1608,2
105.02,7835,17,11,1860,8,1028,2
105.35,12673,25,22,6813,6,1011,2
105.52,12116,16,24,1416,6,1567,2
105.71,15205,17,30,1846,4,2326,2
105.86,13082,18,22,1892,1,1105,2
105.87,5025,17,49,3082,2,1825,2
106.05,11621,20,46,5286,2,1439,2
106.23,9400,22,4,2365,16,1491,3
106.49,9412,11,43,1628,10,1621,3
106.67,6749,13,12,8693,1,1508,2
106.76,5748,10,6,3109,14,441,3
107.2,7232,19,21,1889,10,695,3
107.29,14806,20,32,7419,4,1100,2
107.31,6652,22,2,1636,12,1078,3
107.58,6944,20,11,6984,4,1565,2
107.84,7690,9,43,4292,1,1383,2
108.07,6997,10,43,3748,4,1522,2
108.11,4586,10,33,8115,4,1722,2
108.46,15452,18,34,6904,1,965,2
108.8,15578,3,7,5939,12,603,3
109.06,3231,14,60,4495,12,1723,3
109.37,10737,8,39,7629,2,1819,2
109.43,11082,25,32,1442,2,1375,2
109.58,7703,8,27,1022,4,844,2
109.62,7981,6,23,8566,16,2151,3
109.99,10861,22,6,8206,14,1175,3
110.03,14802,10,25,4733,6,1986,2
111.44,5318,10,25,3073,2,1002,2
111.49,10061,10,50,8168,1,1144,2
111.72,11616,18,32,5269,6,1360,2
111.75,5548,2,18,7079,12,655,3
111.84,8817,3,32,4759,14,1598,3
112.64,16453,24,31,9436,16,694,3
112.76,8673,7,41,3203,12,1412,3
113.03,6488,13,11,7255,4,1113,2
113.48,15027,12,28,4764,4,1213,2
113.61,14623,14,16,8264,8,1970,2
113.69,13511,15,12,4595,2,1904,2
113.76,6738,29,26,4755,12,723,3
113.85,9016,10,41,8220,14,724,3
113.92,8726,22,23,6587,6,1824,2
114.07,13723,12,45,6128,8,2001,2
114.08,11039,23,21,2804,8,1557,2
114.45,10169,21,28,7940,2,1786,2
114.9,7908,25,25,8387,14,2239,3
115.11,14615,21,33,5509,1,2050,2
115.36,13327,20,11,5925,2,1013,2
115.49,7559,12,33,3838,16,332,3
115.82,14366,14,20,2165,2,2151,2
116.16,8173,12,12,5551,4,1569,2
116.47,11055,20,44,6525,12,2116,3
116.49,15647,15,27,6089,8,1833,2
116.5,13966,29,46,7865,14,1017,3
116.62,15894,9,24,3042,6,1901,2
116.78,12796,15,28,1053,2,1794,2
117.49,10532,17,46,2996,2,1697,2
117.62,10173,14,48,6748,6,2195,2
117.88,6829,20,44,7881,12,347,3
117.96,12646,27,32,7531,12,1081,3
118.48,16942,16,24,7168,16,593,3
118.57,7568,26,43,7655,14,333,3
119.09,14671,16,50,7711,4,2041,2
119.29,15382,16,59,6915,14,2213,3
119.82,17604,17,19,8619,1,1184,2
119.85,16557,12,39,5328,1,1241,2
119.87,14176,25,12,3669,10,1044,3
119.88,5428,10,28,8318,1,2048,2
120.9,16782,26,31,1572,14,722,3
121.4,13377,13,10,3781,6,1933,2
121.67,15297,18,19,6490,4,1264,2
121.8,4197,17,21,4762,6,1247,2
122.26,11980,12,30,8004,2,1376,2
122.46,4392,17,19,4887,1,2447,2
122.54,12348,22,45,7843,16,2640,3
122.57,13067,21,9,3823,12,1937,3
122.81,4141,12,43,6634,1,2149,2
123.42,4098,12,20,723,2,1640,2
123.75,17071,2,25,3532,12,1501,3
124.41,4995,23,19,8692,6,1320,2
125.08,6382,22,20,5165,2,2158,2
125.08,10835,24,37,6035,8,2304,2
125.42,11296,20,47,7545,4,1757,2
125.5,13693,4,8,8352,16,1028,3
125.68,16787,5,43,8049,16,1438,3
125.87,5954,22,45,5416,6,1181,2
126.32,6489,6,46,1183,14,1864,3
126.52,15442,19,37,2100,6,1398,2
126.61,13909,27,28,4855,16,1620,3
126.87,7554,29,19,924,16,1149,3
127.12,16517,21,44,4794,2,2329,2
127.52,6497,18,25,3109,4,1562,2
127.53,11042,4,57,803,12,1421,3
127.68,18531,21,57,5525,14,1888,3
127.91,8074,25,13,1801,2,1632,2
127.97,14118,18,48,8440,6,1739,2
128.08,7485,6,6,2061,16,1130,3
128.18,3763,21,42,1025,1,2563,2
128.19,7961,19,52,6474,14,1753,3
128.65,16977,10,15,5240,4,1280,2
130.14,9254,23,35,6206,4,1815,2
130.29,15851,18,27,9447,14,1122,3
130.44,3743,19,14,2780,8,2238,2
130.44,15004,12,16,8542,1,2351,2
130.54,4907,28,54,7762,12,2055,3
130.95,5856,17,36,6133,2,1505,2
131.1,18675,10,11,4817,1,1811,2
131.14,9802,11,53,3293,10,1146,3
131.75,6397,22,17,2255,8,1464,2
131.75,11850,24,25,882,16,581,3
132.11,17197,8,26,8275,2,2876,2
132.46,14031,18,25,2431,8,1531,2
132.51,9238,2,6,4621,10,562,3
132.52,13625,15,18,2473,6,1993,2
132.87,5483,9,43,3693,6,2260,2
133.2,9646,11,42,6520,8,1627,2
133.38,20117,23,10,2095,6,1250,2
133.45,6560,22,35,2182,2,2651,2
133.79,12792,25,32,8304,10,2343,3
134.62,10706,12,44,7697,1,1446,2
134.7,15288,15,49,4889,14,1663,3
134.78,11729,17,52,9088,14,456,3
134.85,12236,18,46,4166,4,2151,2
134.9,16730,13,24,4427,4,1780,2
135.5,7387,16,13,3673,14,1590,3
135.76,9917,12,19,4235,12,804,3
136.37,18498,24,48,1193,6,1962,2
136.52,6278,22,12,2090,6,1350,2
137.22,15492,5,36,333,16,501,3
137.29,13965,17,25,1924,12,1280,3
137.54,9002,11,26,6822,6,1804,2
137.73,17368,16,45,4363,4,1714,2
137.96,8309,25,18,8083,16,2293,3
138.42,11284,10,45,5572,8,1697,2
138.52,10393,3,44,1240,14,1127,3
138.71,20111,11,5,3576,16,1862,3
138.87,13482,17,40,7319,4,2136,2
139.15,14147,8,10,2898,16,562,3
139.2,11943,15,27,7793,16,2506,3
139.29,12841,30,52,8617,12,1644,3
139.85,6753,26,8,3584,16,2758,3
139.86,6169,6,29,8223,12,1432,3
139.97,4512,8,30,6118,12,944,3
140.97,13833,9,18,5458,12,875,3
140.99,17768,17,48,4270,1,2603,2
141.2,13219,22,46,6449,10,2468,3
141.32,4212,22,6,7381,14,1199,3
141.54,16022,17,33,7037,6,1902,2
141.92,14973,7,53,6785,16,1684,3
142.25,7091,29,8,3112,10,1817,3
142.27,20636,8,39,6589,16,2617,3
142.31,3731,28,22,7910,14,963,3
142.42,17527,13,46,8499,12,1594,3
142.51,5404,11,27,549,6,1551,2
142.56,20884,13,41,983,6,2231,2
142.88,5179,11,24,4692,4,1858,2
143.33,15376,14,17,7465,6,1957,2
143.59,4997,19,39,3405,8,2082,2
143.72,11677,17,4,1229,16,2433,3
143.85,16231,17,41,2695,14,1626,3
143.9,5176,19,10,8352,16,1396,3
144.16,20387,30,53,8963,10,2523,3
144.3,9749,3,40,2009,10,2897,3
144.33,6666,8,16,7238,2,2126,2
144.46,4501,15,60,8484,16,2276,3
144.59,15983,4,56,185,10,2916,3
144.68,10785,18,18,916,2,3017,2
144.72,20948,8,22,1590,2,2831,2
144.91,8695,18,23,5561,4,2434,2
145.11,16408,22,22,675,1,2843,2
145.5,9903,25,17,6246,8,1684,2
145.68,9644,28,52,8044,16,1137,3
145.8,9650,19,29,3439,8,1054,2
145.85,16338,21,41,7735,4,2526,2
145.9,11394,11,47,5617,14,1273,3
145.92,8648,16,12,5419,6,2849,2
146.1,10995,15,20,5254,6,2772,2
146.16,16184,12,25,3141,4,1461,2
147.1,16234,12,41,6352,4,1401,2
147.14,20855,25,19,6455,14,1831,3
147.69,7375,12,19,4590,1,2366,2
147.73,13400,26,13,6706,12,497,3
147.96,13910,10,19,874,4,2514,2
148.19,7762,23,57,5865,14,1287,3
148.85,19039,11,28,5606,1,1273,2
149.18,10858,6,49,2783,16,992,3
149.27,12690,21,17,3211,12,1126,3
149.34,21878,17,13,6628,6,1816,2
149.37,7362,13,45,587,6,1858,2
149.4,12003,9,40,1156,4,2326,2
149.62,15393,21,11,6092,2,2375,2
149.74,5347,18,13,3234,8,2318,2
149.86,19622,5,11,545,16,801,3
149.94,20699,14,33,6918,2,2163,2
149.97,10020,6,24,7156,16,1376,3
150.42,11229,10,13,2589,2,2689,2
150.44,15032,29,6,1983,14,1679,3
150.44,7265,12,5,5242,12,1866,3
150.81,6234,13,15,4311,4,2438,2
150.94,11291,13,46,3042,4,3045,2
151.26,21552,20,57,5557,16,1917,3
151.38,19932,10,8,855,16,415,3
151.88,19564,22,12,2096,1,1623,2
152.07,19060,14,16,8129,14,1273,3
152.18,11656,17,36,8709,1,1832,2
152.2,8468,18,18,6936,1,1438,2
152.78,23242,11,41,7399,6,2371,2
153.1,18914,15,25,4383,6,2367,2
153.27,11705,26,33,5467,16,1687,3
153.44,7419,24,19,3692,2,2962,2
153.58,8490,13,35,1315,6,2297,2
153.74,23910,21,17,1571,4,1361,2
153.92,13327,3,31,8554,16,1673,3
153.96,16160,27,50,6980,10,2629,3
154.02,19020,14,30,8511,6,2385,2
154.32,9576,15,30,4247,14,2980,3
154.48,10376,13,32,6384,2,2899,2
154.58,15860,25,44,7349,2,2835,2
154.61,9821,20,49,3656,4,2258,2
154.66,18273,23,44,1953,4,1532,2
154.93,16436,16,37,7625,8,2127,2
